"","Date","Sessions","Pageviews","Users","New_Users","Number_Session","Pages_Session","Avg_S_Duration","Bounce"
"1026",2015-01-01,13,43,11,9,1.18181818181818,3.30769230769231,100.384615384615,0.615384615384615
"1027",2015-01-02,44,82,32,25,1.375,1.86363636363636,134.409090909091,0.568181818181818
"1028",2015-01-03,21,45,17,12,1.23529411764706,2.14285714285714,84.2857142857143,0.571428571428571
"1029",2015-01-04,25,47,22,18,1.13636363636364,1.88,128.96,0.6
"1030",2015-01-05,37,91,34,22,1.08823529411765,2.45945945945946,138.513513513514,0.567567567567568
"1031",2015-01-06,48,117,42,33,1.14285714285714,2.4375,109.291666666667,0.604166666666667
"1032",2015-01-07,53,147,44,35,1.20454545454545,2.77358490566038,98.9622641509434,0.584905660377358
"1033",2015-01-08,28,75,26,19,1.07692307692308,2.67857142857143,80.0714285714286,0.535714285714286
"1034",2015-01-09,33,106,25,14,1.32,3.21212121212121,239.606060606061,0.333333333333333
"1035",2015-01-10,14,23,11,9,1.27272727272727,1.64285714285714,113.928571428571,0.571428571428571
"1036",2015-01-11,18,44,15,12,1.2,2.44444444444444,211.777777777778,0.444444444444444
"1037",2015-01-12,52,146,44,34,1.18181818181818,2.80769230769231,67.5192307692308,0.538461538461538
"1038",2015-01-13,36,75,29,19,1.24137931034483,2.08333333333333,84.9722222222222,0.472222222222222
"1039",2015-01-14,46,85,28,16,1.64285714285714,1.84782608695652,57.1521739130435,0.695652173913043
"1040",2015-01-15,40,107,29,23,1.37931034482759,2.675,125.35,0.575
"1041",2015-01-16,30,64,27,18,1.11111111111111,2.13333333333333,34.7666666666667,0.666666666666667
"1042",2015-01-17,8,12,6,4,1.33333333333333,1.5,23.75,0.875
"1043",2015-01-18,25,55,21,19,1.19047619047619,2.2,57.56,0.72
"1044",2015-01-19,47,162,42,32,1.11904761904762,3.4468085106383,188.297872340426,0.361702127659574
"1045",2015-01-20,40,127,33,20,1.21212121212121,3.175,179.875,0.525
"1046",2015-01-21,43,118,37,27,1.16216216216216,2.74418604651163,78.3488372093023,0.465116279069767
"1047",2015-01-22,46,99,38,26,1.21052631578947,2.15217391304348,143.913043478261,0.521739130434783
"1048",2015-01-23,43,108,34,26,1.26470588235294,2.51162790697674,53.8604651162791,0.581395348837209
"1049",2015-01-24,13,29,12,9,1.08333333333333,2.23076923076923,146.461538461538,0.538461538461538
"1050",2015-01-25,19,68,16,10,1.1875,3.57894736842105,194,0.368421052631579
"1051",2015-01-26,41,107,36,22,1.13888888888889,2.60975609756098,87.6585365853659,0.536585365853659
"1052",2015-01-27,39,89,34,27,1.14705882352941,2.28205128205128,138.589743589744,0.564102564102564
"1053",2015-01-28,39,76,32,22,1.21875,1.94871794871795,51.7179487179487,0.666666666666667
"1054",2015-01-29,37,62,27,15,1.37037037037037,1.67567567567568,191.108108108108,0.72972972972973
"1055",2015-01-30,41,81,29,18,1.41379310344828,1.97560975609756,86.9024390243902,0.585365853658537
"1056",2015-01-31,25,48,22,19,1.13636363636364,1.92,43.88,0.56
"1057",2015-02-01,18,41,15,14,1.2,2.27777777777778,30.5555555555556,0.722222222222222
"1058",2015-02-02,31,55,25,17,1.24,1.7741935483871,76.7096774193548,0.645161290322581
"1059",2015-02-03,41,72,34,26,1.20588235294118,1.75609756097561,86.3658536585366,0.634146341463415
"1060",2015-02-04,32,60,25,16,1.28,1.875,117.84375,0.625
