"","year","Sessions","Pageviews","Users","New_Users","Number_Session","Pages_Session","Avg_S_Duration","Bounce"
"1",2012,22.0169491525424,71.671186440678,16.4169491525424,11.9254237288136,1.37960471406964,3.14658246268512,176.633692562744,0.472964589751987
"2",2013,24.8438356164384,75.8794520547945,18.6164383561644,12.441095890411,1.34965820746502,3.00643941292035,143.452614319893,0.467772568439191
"3",2014,28.7424657534247,84.2712328767123,22.0986301369863,14.7616438356164,1.28303943975445,2.89145943225422,167.323342301199,0.50917630745264
"4",2015,29.4356164383562,79.0794520547945,24.2301369863014,17.1315068493151,1.20105802767288,2.70962280780243,128.433375294322,0.523595499391573
"5",2016,32.2213114754098,97.4262295081967,28.3251366120219,20.8224043715847,1.13104767401838,3.01306276927312,135.650777237847,0.463056739386066
"6",2017,29.0191780821918,87.2027397260274,25.6849315068493,19.2876712328767,1.12059283715266,2.97201934883019,137.514885272793,0.45795496281042
"7",2018,38.887323943662,111.774647887324,35.1971830985916,27.1267605633803,1.10690497500478,2.94298299946126,120.870819324757,0.468967477937612
