"","Date","Sessions","Pageviews","Users","New_Users","Number_Session","Pages_Session","Avg_S_Duration","Bounce"
"1757",2017-01-01,16,54,16,12,1,3.375,105.625,0.1875
"1758",2017-01-02,22,91,20,18,1.1,4.13636363636364,201.136363636364,0.363636363636364
"1759",2017-01-03,53,217,46,32,1.15217391304348,4.09433962264151,204.094339622642,0.283018867924528
"1760",2017-01-04,50,174,42,32,1.19047619047619,3.48,162.48,0.52
"1761",2017-01-05,46,143,42,32,1.0952380952381,3.10869565217391,158.652173913043,0.260869565217391
"1762",2017-01-06,32,96,28,22,1.14285714285714,3,279.21875,0.28125
"1763",2017-01-07,16,85,16,15,1,5.3125,225.875,0.3125
"1764",2017-01-08,19,44,19,15,1,2.31578947368421,130.789473684211,0.473684210526316
"1765",2017-01-09,54,178,50,33,1.08,3.2962962962963,166.87037037037,0.462962962962963
"1766",2017-01-10,50,107,46,41,1.08695652173913,2.14,80.06,0.52
"1767",2017-01-11,67,125,60,51,1.11666666666667,1.86567164179104,150.417910447761,0.746268656716418
"1768",2017-01-12,44,165,34,23,1.29411764705882,3.75,282.704545454545,0.386363636363636
"1769",2017-01-13,25,81,23,17,1.08695652173913,3.24,134.12,0.44
"1770",2017-01-14,15,58,14,10,1.07142857142857,3.86666666666667,149.466666666667,0.533333333333333
"1771",2017-01-15,9,29,9,8,1,3.22222222222222,182.666666666667,0.333333333333333
"1772",2017-01-16,51,167,42,34,1.21428571428571,3.27450980392157,301.411764705882,0.392156862745098
"1773",2017-01-17,49,172,42,27,1.16666666666667,3.51020408163265,188.265306122449,0.36734693877551
"1774",2017-01-18,37,98,32,28,1.15625,2.64864864864865,163.216216216216,0.513513513513513
"1775",2017-01-19,47,142,41,33,1.14634146341463,3.02127659574468,203.170212765957,0.425531914893617
"1776",2017-01-20,31,95,27,20,1.14814814814815,3.06451612903226,141.354838709677,0.451612903225806
"1777",2017-01-21,18,48,17,12,1.05882352941176,2.66666666666667,38.7777777777778,0.5
"1778",2017-01-22,23,52,23,20,1,2.26086956521739,122.086956521739,0.434782608695652
"1779",2017-01-23,47,263,41,32,1.14634146341463,5.59574468085106,289.063829787234,0.319148936170213
"1780",2017-01-24,54,256,43,28,1.25581395348837,4.74074074074074,330.092592592593,0.444444444444444
"1781",2017-01-25,33,138,28,23,1.17857142857143,4.18181818181818,288.424242424242,0.393939393939394
"1782",2017-01-26,31,124,29,22,1.06896551724138,4,100.677419354839,0.354838709677419
"1783",2017-01-27,25,81,22,17,1.13636363636364,3.24,128.6,0.32
"1784",2017-01-28,20,45,16,12,1.25,2.25,59.65,0.6
"1785",2017-01-29,12,42,12,10,1,3.5,124.25,0.333333333333333
"1786",2017-01-30,34,122,30,21,1.13333333333333,3.58823529411765,301.147058823529,0.323529411764706
"1787",2017-01-31,34,107,27,22,1.25925925925926,3.14705882352941,113.117647058824,0.382352941176471
"1788",2017-02-01,43,105,40,30,1.075,2.44186046511628,83.5116279069767,0.395348837209302
"1789",2017-02-02,26,75,25,17,1.04,2.88461538461538,143.192307692308,0.5
"1790",2017-02-03,36,94,29,19,1.24137931034483,2.61111111111111,281.111111111111,0.5
"1791",2017-02-04,15,46,14,12,1.07142857142857,3.06666666666667,359.666666666667,0.466666666666667
"1792",2017-02-05,14,37,14,11,1,2.64285714285714,37.3571428571429,0.285714285714286
"1793",2017-02-06,44,126,38,27,1.15789473684211,2.86363636363636,231.522727272727,0.477272727272727
"1794",2017-02-07,32,84,30,20,1.06666666666667,2.625,186.90625,0.5
"1795",2017-02-08,35,114,29,22,1.20689655172414,3.25714285714286,134.2,0.4
"1796",2017-02-09,32,121,28,20,1.14285714285714,3.78125,108.46875,0.40625
"1797",2017-02-10,28,82,28,24,1,2.92857142857143,81.1071428571429,0.392857142857143
"1798",2017-02-11,14,31,11,10,1.27272727272727,2.21428571428571,62.8571428571429,0.428571428571429
"1799",2017-02-12,6,20,6,6,1,3.33333333333333,121,0
"1800",2017-02-13,36,112,31,24,1.16129032258065,3.11111111111111,141.861111111111,0.444444444444444
"1801",2017-02-14,29,97,24,21,1.20833333333333,3.3448275862069,206,0.413793103448276
"1802",2017-02-15,27,71,24,20,1.125,2.62962962962963,83.962962962963,0.296296296296296
"1803",2017-02-16,46,122,43,33,1.06976744186047,2.65217391304348,144.086956521739,0.391304347826087
"1804",2017-02-17,33,83,30,23,1.1,2.51515151515152,229.878787878788,0.545454545454545
"1805",2017-02-18,20,67,19,16,1.05263157894737,3.35,88.15,0.3
"1806",2017-02-19,20,52,20,13,1,2.6,60.65,0.4
"1807",2017-02-20,43,105,37,26,1.16216216216216,2.44186046511628,205.162790697674,0.465116279069767
"1808",2017-02-21,41,153,34,27,1.20588235294118,3.73170731707317,231.463414634146,0.317073170731707
"1809",2017-02-22,34,149,33,26,1.03030303030303,4.38235294117647,186.529411764706,0.294117647058824
"1810",2017-02-23,25,111,24,20,1.04166666666667,4.44,150.32,0.36
"1811",2017-02-24,32,92,28,22,1.14285714285714,2.875,66.09375,0.5
"1812",2017-02-25,18,50,17,14,1.05882352941176,2.77777777777778,59.8333333333333,0.444444444444444
"1813",2017-02-26,12,33,10,8,1.2,2.75,70.4166666666667,0.333333333333333
"1814",2017-02-27,46,167,40,32,1.15,3.6304347826087,230.065217391304,0.391304347826087
"1815",2017-02-28,27,92,27,24,1,3.40740740740741,161.407407407407,0.555555555555556
"1816",2017-03-01,27,89,26,21,1.03846153846154,3.2962962962963,97.4444444444444,0.296296296296296
"1817",2017-03-02,41,100,34,24,1.20588235294118,2.4390243902439,116.682926829268,0.463414634146341
"1818",2017-03-03,28,132,20,12,1.4,4.71428571428571,268,0.285714285714286
"1819",2017-03-04,18,54,16,12,1.125,3,236.388888888889,0.388888888888889
"1820",2017-03-05,29,127,27,22,1.07407407407407,4.37931034482759,181.724137931034,0.310344827586207
"1821",2017-03-06,60,212,50,41,1.2,3.53333333333333,172.633333333333,0.416666666666667
"1822",2017-03-07,46,143,38,28,1.21052631578947,3.10869565217391,254.760869565217,0.5
"1823",2017-03-08,36,127,29,19,1.24137931034483,3.52777777777778,264.916666666667,0.305555555555556
"1824",2017-03-09,32,82,24,17,1.33333333333333,2.5625,99.8125,0.5
"1825",2017-03-10,32,118,24,19,1.33333333333333,3.6875,343.9375,0.375
"1826",2017-03-11,12,15,9,6,1.33333333333333,1.25,4.25,0.833333333333333
"1827",2017-03-12,14,41,13,11,1.07692307692308,2.92857142857143,150.571428571429,0.571428571428571
"1828",2017-03-13,34,147,30,26,1.13333333333333,4.32352941176471,173.852941176471,0.352941176470588
"1829",2017-03-14,29,74,24,17,1.20833333333333,2.55172413793103,138.827586206897,0.448275862068966
"1830",2017-03-15,48,133,39,27,1.23076923076923,2.77083333333333,175.458333333333,0.458333333333333
"1831",2017-03-16,28,91,24,20,1.16666666666667,3.25,416.178571428571,0.428571428571429
"1832",2017-03-17,26,53,23,16,1.1304347826087,2.03846153846154,92.8076923076923,0.538461538461538
"1833",2017-03-18,21,114,18,16,1.16666666666667,5.42857142857143,256.714285714286,0.380952380952381
"1834",2017-03-19,19,52,17,15,1.11764705882353,2.73684210526316,133.526315789474,0.421052631578947
"1835",2017-03-20,24,45,22,16,1.09090909090909,1.875,96.3333333333333,0.541666666666667
"1836",2017-03-21,35,96,30,23,1.16666666666667,2.74285714285714,140.342857142857,0.428571428571429
"1837",2017-03-22,31,68,26,16,1.19230769230769,2.19354838709677,139.612903225806,0.419354838709677
"1838",2017-03-23,23,54,19,16,1.21052631578947,2.34782608695652,127.173913043478,0.304347826086957
"1839",2017-03-24,31,61,27,22,1.14814814814815,1.96774193548387,53.4838709677419,0.645161290322581
"1840",2017-03-25,20,35,18,15,1.11111111111111,1.75,29.45,0.6
"1841",2017-03-26,17,66,17,13,1,3.88235294117647,109.705882352941,0.411764705882353
"1842",2017-03-27,40,119,34,27,1.17647058823529,2.975,124.275,0.45
"1843",2017-03-28,40,100,32,20,1.25,2.5,271.3,0.475
"1844",2017-03-29,47,150,43,33,1.09302325581395,3.19148936170213,154.510638297872,0.468085106382979
"1845",2017-03-30,37,81,34,20,1.08823529411765,2.18918918918919,85.6486486486486,0.459459459459459
"1846",2017-03-31,25,71,21,14,1.19047619047619,2.84,120.6,0.48
"1847",2017-04-01,17,67,15,12,1.13333333333333,3.94117647058824,152.882352941176,0.470588235294118
