"","Date","Sessions","Pageviews","Users","New_Users","Number_Session","Pages_Session","Avg_S_Duration","Bounce"
"2122",2018-01-01,16,48,14,14,1.14285714285714,3,116.3125,0.3125
"2123",2018-01-02,44,106,42,35,1.04761904761905,2.40909090909091,67.5227272727273,0.545454545454545
"2124",2018-01-03,55,190,50,41,1.1,3.45454545454545,159.309090909091,0.4
"2125",2018-01-04,36,103,33,21,1.09090909090909,2.86111111111111,173.083333333333,0.416666666666667
"2126",2018-01-05,50,113,43,32,1.16279069767442,2.26,68.84,0.58
"2127",2018-01-06,23,74,21,16,1.0952380952381,3.21739130434783,119.913043478261,0.652173913043478
"2128",2018-01-07,16,42,14,10,1.14285714285714,2.625,118.5625,0.4375
"2129",2018-01-08,37,125,33,30,1.12121212121212,3.37837837837838,121.297297297297,0.324324324324324
"2130",2018-01-09,44,124,38,28,1.15789473684211,2.81818181818182,81.5454545454545,0.613636363636364
"2131",2018-01-10,53,106,52,44,1.01923076923077,2,84.9433962264151,0.60377358490566
"2132",2018-01-11,53,144,50,38,1.06,2.71698113207547,78.8679245283019,0.584905660377358
"2133",2018-01-12,35,81,34,27,1.02941176470588,2.31428571428571,107.028571428571,0.428571428571429
"2134",2018-01-13,26,73,22,19,1.18181818181818,2.80769230769231,78.1153846153846,0.423076923076923
"2135",2018-01-14,31,99,28,26,1.10714285714286,3.19354838709677,89.6451612903226,0.387096774193548
"2136",2018-01-15,56,183,51,43,1.09803921568627,3.26785714285714,169.589285714286,0.535714285714286
"2137",2018-01-16,55,195,50,34,1.1,3.54545454545455,140.072727272727,0.509090909090909
"2138",2018-01-17,48,129,48,36,1,2.6875,112.6875,0.520833333333333
"2139",2018-01-18,47,160,42,34,1.11904761904762,3.40425531914894,103.382978723404,0.425531914893617
"2140",2018-01-19,43,131,37,28,1.16216216216216,3.04651162790698,132.46511627907,0.511627906976744
"2141",2018-01-20,26,49,22,16,1.18181818181818,1.88461538461538,100.153846153846,0.576923076923077
"2142",2018-01-21,24,70,18,13,1.33333333333333,2.91666666666667,358.25,0.5
"2143",2018-01-22,63,202,54,44,1.16666666666667,3.20634920634921,147.365079365079,0.476190476190476
"2144",2018-01-23,48,118,46,33,1.04347826086957,2.45833333333333,179.145833333333,0.5
