"","month","Pageviews","Number_Session","Pages_Session","Avg_S_Duration","Bounce","Web_Metric","Number"
"1",1,3599,34.7360353838462,104.89383442376,5507.48312332323,0.408427511044176,"Sessions",1064
"2",2,2491,30.9835678136545,85.2897649136387,4146.78267959106,0.400175664420747,"Sessions",814
"3",3,2850,36.4439720943109,91.9822619372972,5030.92546919968,0.450278797843078,"Sessions",950
"4",4,3020,33.2078925037054,92.4847168131996,3979.25187669425,0.441544247542967,"Sessions",978
"5",5,2876,35.049428158121,94.9069248043664,4399.77638034652,0.429919177235719,"Sessions",980
"6",6,2064,32.7194317459371,86.9903493403905,5429.9958242542,0.48411737350689,"Sessions",670
"7",7,2169,35.1366023060373,87.6725473817071,3971.19276973546,0.433591345726656,"Sessions",782
"8",8,2814,35.2137834636349,87.9899788183526,3410.74701268895,0.442238604278849,"Sessions",973
"9",9,2709,33.9362922641835,95.3746568975936,4207.74664946226,0.443670498098299,"Sessions",852
"10",10,2606,34.4005726275777,95.2669939500143,3819.54941574447,0.480091571172719,"Sessions",814
"11",11,2753,33.1125570452197,84.3549123945213,3403.39838622985,0.510120383647258,"Sessions",956
"12",12,1878,34.0762501544929,77.5801206481779,2886.08353729959,0.567229371349125,"Sessions",759
"13",1,3599,34.7360353838462,104.89383442376,5507.48312332323,0.408427511044176,"Users",937
"14",2,2491,30.9835678136545,85.2897649136387,4146.78267959106,0.400175664420747,"Users",733
"15",3,2850,36.4439720943109,91.9822619372972,5030.92546919968,0.450278797843078,"Users",808
"16",4,3020,33.2078925037054,92.4847168131996,3979.25187669425,0.441544247542967,"Users",869
"17",5,2876,35.049428158121,94.9069248043664,4399.77638034652,0.429919177235719,"Users",857
"18",6,2064,32.7194317459371,86.9903493403905,5429.9958242542,0.48411737350689,"Users",599
"19",7,2169,35.1366023060373,87.6725473817071,3971.19276973546,0.433591345726656,"Users",690
"20",8,2814,35.2137834636349,87.9899788183526,3410.74701268895,0.442238604278849,"Users",850
"21",9,2709,33.9362922641835,95.3746568975936,4207.74664946226,0.443670498098299,"Users",747
"22",10,2606,34.4005726275777,95.2669939500143,3819.54941574447,0.480091571172719,"Users",730
"23",11,2753,33.1125570452197,84.3549123945213,3403.39838622985,0.510120383647258,"Users",861
"24",12,1878,34.0762501544929,77.5801206481779,2886.08353729959,0.567229371349125,"Users",694
"25",1,3599,34.7360353838462,104.89383442376,5507.48312332323,0.408427511044176,"New_Users",722
"26",2,2491,30.9835678136545,85.2897649136387,4146.78267959106,0.400175664420747,"New_Users",567
"27",3,2850,36.4439720943109,91.9822619372972,5030.92546919968,0.450278797843078,"New_Users",604
"28",4,3020,33.2078925037054,92.4847168131996,3979.25187669425,0.441544247542967,"New_Users",683
"29",5,2876,35.049428158121,94.9069248043664,4399.77638034652,0.429919177235719,"New_Users",644
"30",6,2064,32.7194317459371,86.9903493403905,5429.9958242542,0.48411737350689,"New_Users",423
"31",7,2169,35.1366023060373,87.6725473817071,3971.19276973546,0.433591345726656,"New_Users",528
"32",8,2814,35.2137834636349,87.9899788183526,3410.74701268895,0.442238604278849,"New_Users",620
"33",9,2709,33.9362922641835,95.3746568975936,4207.74664946226,0.443670498098299,"New_Users",526
"34",10,2606,34.4005726275777,95.2669939500143,3819.54941574447,0.480091571172719,"New_Users",537
"35",11,2753,33.1125570452197,84.3549123945213,3403.39838622985,0.510120383647258,"New_Users",667
"36",12,1878,34.0762501544929,77.5801206481779,2886.08353729959,0.567229371349125,"New_Users",519
