"","month","Sessions","Pageviews","Users","New_Users","Number_Session","Pages_Session","Avg_S_Duration","Bounce"
"1",0,32.5430107526882,94.3763440860215,27.505376344086,20.3118279569892,1.21321382827641,2.89760181733913,134.97996064926,0.472355013074199
"2",1,30.3846153846154,87.1301775147929,25.4437869822485,18.2130177514793,1.20937689204598,2.88335070172034,136.125932937903,0.491352703730263
"3",2,29.2620320855615,83.7005347593583,23.716577540107,17.144385026738,1.25931562031755,2.8864992948909,153.050119021073,0.490137397044289
"4",3,28.5388888888889,82.4555555555555,22.9277777777778,16.7222222222222,1.2862243967963,2.91990783007628,151.320117381414,0.490939695376181
"5",4,28.4677419354839,83.1451612903226,23.0645161290323,16.4677419354839,1.24654413864643,2.97288723337459,157.235458420984,0.473303596063215
"6",5,26.9944444444444,84.5833333333333,21.6555555555556,15.0333333333333,1.2562961540455,3.02799134976731,169.023883813206,0.48866563580056
"7",6,26.1935483870968,77.6666666666667,21.0645161290323,14.5967741935484,1.24753897145323,2.98413357082859,153.012887037427,0.474357997761601
"8",7,26.9838709677419,83.1236559139785,21.9623655913978,15.6397849462366,1.20958654779468,3.03291536394717,156.014930020874,0.446290128691843
"9",8,29.9833333333333,96.9944444444444,24.4333333333333,16.95,1.23185258289555,3.1843702317934,146.958285288669,0.463635347269358
"10",9,28.9569892473118,87.489247311828,23.9354838709677,17.2043010752688,1.22930116842548,2.92182265664932,134.704519420935,0.489211727781622
"11",10,29.2888888888889,84.6777777777778,24.5277777777778,17.9055555555556,1.2053816532584,2.84863644238766,135.780897414078,0.48557384245856
"12",11,21.758064516129,62.0483870967742,18.0376344086022,12.6236559139785,1.22823320588038,2.84054456327881,127.819250879782,0.522284525817934
