"","month","Pageviews","Number_Session","Pages_Session","Avg_S_Duration","Bounce","Web_Metric","Number"
"1",1,2863,41.2894217922473,96.1754122576002,5161.28592528828,0.458692590412494,"Sessions",920
"2",2,2481,38.213525215629,86.9101115475994,5182.95117826638,0.488551164314246,"Sessions",798
"3",3,2525,40.1193194927627,86.4516181636206,5743.73689905183,0.533501604909687,"Sessions",907
"4",4,2231,39.6578264324094,82.3541044403931,4267.13990032624,0.5402390487355,"Sessions",821
"5",5,2722,41.2756941059502,94.1015333119008,6310.40242135967,0.476601980817966,"Sessions",870
"6",6,2514,39.0936818332276,97.1244194712861,5355.49767527126,0.473130041737455,"Sessions",862
"7",7,2644,42.0298061842429,92.3269387834158,6656.10263788148,0.481980669394649,"Sessions",876
"8",8,2433,34.0447794521232,91.8055180574096,5319.5709744967,0.410558508518419,"Sessions",724
"9",9,3529,38.439515773645,101.278856529684,5749.51099662593,0.472062431310966,"Sessions",1050
"10",10,2871,38.9132421963773,86.6112726696409,4406.78291801312,0.537776174027433,"Sessions",965
"11",11,2227,37.0756928817869,73.0310700635674,3677.83974916797,0.592634385625044,"Sessions",924
"12",12,1719,38.1568901499717,67.2118374766721,3242.19866418885,0.643725323440186,"Sessions",774
"13",1,2863,41.2894217922473,96.1754122576002,5161.28592528828,0.458692590412494,"Users",719
"14",2,2481,38.213525215629,86.9101115475994,5182.95117826638,0.488551164314246,"Users",586
"15",3,2525,40.1193194927627,86.4516181636206,5743.73689905183,0.533501604909687,"Users",702
"16",4,2231,39.6578264324094,82.3541044403931,4267.13990032624,0.5402390487355,"Users",617
"17",5,2722,41.2756941059502,94.1015333119008,6310.40242135967,0.476601980817966,"Users",639
"18",6,2514,39.0936818332276,97.1244194712861,5355.49767527126,0.473130041737455,"Users",649
"19",7,2644,42.0298061842429,92.3269387834158,6656.10263788148,0.481980669394649,"Users",635
"20",8,2433,34.0447794521232,91.8055180574096,5319.5709744967,0.410558508518419,"Users",569
"21",9,3529,38.439515773645,101.278856529684,5749.51099662593,0.472062431310966,"Users",817
"22",10,2871,38.9132421963773,86.6112726696409,4406.78291801312,0.537776174027433,"Users",767
"23",11,2227,37.0756928817869,73.0310700635674,3677.83974916797,0.592634385625044,"Users",745
"24",12,1719,38.1568901499717,67.2118374766721,3242.19866418885,0.643725323440186,"Users",621
"25",1,2863,41.2894217922473,96.1754122576002,5161.28592528828,0.458692590412494,"New_Users",480
"26",2,2481,38.213525215629,86.9101115475994,5182.95117826638,0.488551164314246,"New_Users",374
"27",3,2525,40.1193194927627,86.4516181636206,5743.73689905183,0.533501604909687,"New_Users",474
"28",4,2231,39.6578264324094,82.3541044403931,4267.13990032624,0.5402390487355,"New_Users",392
"29",5,2722,41.2756941059502,94.1015333119008,6310.40242135967,0.476601980817966,"New_Users",417
"30",6,2514,39.0936818332276,97.1244194712861,5355.49767527126,0.473130041737455,"New_Users",437
"31",7,2644,42.0298061842429,92.3269387834158,6656.10263788148,0.481980669394649,"New_Users",414
"32",8,2433,34.0447794521232,91.8055180574096,5319.5709744967,0.410558508518419,"New_Users",404
"33",9,3529,38.439515773645,101.278856529684,5749.51099662593,0.472062431310966,"New_Users",531
"34",10,2871,38.9132421963773,86.6112726696409,4406.78291801312,0.537776174027433,"New_Users",526
"35",11,2227,37.0756928817869,73.0310700635674,3677.83974916797,0.592634385625044,"New_Users",519
"36",12,1719,38.1568901499717,67.2118374766721,3242.19866418885,0.643725323440186,"New_Users",420
