"","Date","yhat_lower","yhat_upper","yhat","Web_Metric","Predicted","Predicted_Lower","Predicted_Upper","All_Mape","Number"
"1",2018-01-01,2.86317519621155,3.71168532552138,3.29004574314121,"Sessions",26.8440915608853,17.5170588264246,40.9227165413683,"MAPE",67.775572255533
"2",2018-01-02,2.94373700672648,3.73581267024628,3.33774717032618,"Sessions",28.155625375095,18.9866672038159,41.9220805510166,"MAPE",36.0099423293295
"3",2018-01-03,2.93879539869873,3.74437388466228,3.34502563257043,"Sessions",28.3613026304236,18.8930739777182,42.2825251917614,"MAPE",48.4339952174117
"4",2018-01-04,2.95586896597355,3.74411437626666,3.3370025536345,"Sessions",28.1346680300388,19.2184156152389,42.2715539451127,"MAPE",21.8481443610034
"5",2018-01-05,2.87941132603804,3.6665962907665,3.27207421210835,"Sessions",26.3659712814453,17.8037894668873,39.1185308994534,"MAPE",47.2680574371093
"6",2018-01-06,2.0794195365382,2.87307521602092,2.47385076635717,"Sessions",11.8680600988568,7.99982396080379,17.6913393225507,"MAPE",48.3997387006228
"7",2018-01-07,2.22953172749819,3.0377378850751,2.63499659673978,"Sessions",13.943265010523,9.29551222740222,20.8580066198313,"MAPE",12.8545936842312
"8",2018-01-08,3.1328018365509,3.94995101202512,3.54002097794691,"Sessions",34.4676422436423,22.9381585619634,51.9328226887024,"MAPE",6.84421015231799
"9",2018-01-09,3.19276849911525,3.99126662448005,3.58634257911548,"Sessions",36.1017947119473,24.3557630993255,54.1233999889187,"MAPE",17.9504665637561
"10",2018-01-10,3.1566446996581,3.9823284140304,3.58844485886217,"Sessions",36.1777706171111,23.4916420315802,53.6417892251317,"MAPE",31.740055439413
"11",2018-01-11,3.17838776514385,3.98035450853527,3.57160993342277,"Sessions",35.5738185541903,24.0080157734001,53.5360098362159,"MAPE",32.8795876336032
"12",2018-01-12,3.08406535629252,3.89771752780225,3.49446895536859,"Sessions",32.9327945247905,21.8470381000776,49.2898179765541,"MAPE",5.90630135774148
"13",2018-01-13,2.27172717754786,3.10319987642791,2.68093496875458,"Sessions",14.5987362792828,9.69613330366619,22.2690957485414,"MAPE",43.8510143104507
"14",2018-01-14,2.42408851075803,3.23147043984021,2.82403551516122,"Sessions",16.8446907000487,11.291932252345,25.3168565288732,"MAPE",45.6622880643591
"15",2018-01-15,3.30975002613796,4.08864875674421,3.70869421225935,"Sessions",40.800494941651,27.3782807618614,59.6592230921113,"MAPE",27.1419733184804
"16",2018-01-16,3.32386572782725,4.16126452413688,3.73278504429198,"Sessions",41.795348117892,27.7674848880451,64.152593834214,"MAPE",24.008457967469
"17",2018-01-17,3.32051784180783,4.10747764880011,3.71127669970889,"Sessions",40.9059978791432,27.6746779537971,60.7931822598199,"MAPE",14.7791710851183
"18",2018-01-18,3.25628621329453,4.0825367347169,3.66995482123917,"Sessions",39.2501325478959,25.9529741359845,59.2956966788449,"MAPE",16.4890796853278
"19",2018-01-19,3.17242895112787,3.95173922796167,3.56796050417553,"Sessions",35.4442310244073,23.8653818590447,52.0257728725952,"MAPE",17.5715557571923
"20",2018-01-20,2.33032831062108,3.13203391051551,2.72971131025232,"Sessions",15.3284612114957,10.2813164443909,22.9205505145042,"MAPE",41.0443799557858
"21",2018-01-21,2.4553611766813,3.25976253905398,2.84872236834147,"Sessions",17.2657085269671,11.6506407288196,26.0433521291636,"MAPE",28.0595478043038
"22",2018-01-22,3.31093923751472,4.13268637248523,3.71037706766327,"Sessions",40.8692140810156,27.4108586920028,62.3451805536682,"MAPE",35.1282316174356
"23",2018-01-23,3.30632120289458,4.13070619982231,3.71297134710891,"Sessions",40.9753778928204,27.2845662335136,62.2218484811697,"MAPE",14.6346293899576
"24",2018-01-24,3.29602694955634,4.09719528306749,3.67184915323737,"Sessions",39.3245557988321,27.0051327437139,60.1712872808354,"MAPE",22.8930278454272
"25",2018-01-25,3.19943931788052,4.01391130198485,3.61311713690955,"Sessions",37.0814608403127,24.5187791014391,55.3629890044806,"MAPE",24.3235493054844
"26",2018-01-26,3.07673639544714,3.88889401825709,3.4961770912546,"Sessions",32.9890962847836,21.6875073247389,48.856821878973,"MAPE",34.0218074304328
"27",2018-01-27,2.2501376433622,3.06406455445504,2.64564252361868,"Sessions",14.0924969369263,9.48904185009868,21.4144205904862,"MAPE",45.7980887041298
"28",2018-01-28,2.38232057128816,3.13890693127135,2.75515701359376,"Sessions",15.723509513731,10.8300055262825,23.0786265415619,"MAPE",49.2790015686095
"29",2018-01-29,3.21791301605697,4.00080079997206,3.61016389776246,"Sessions",36.9721119646927,24.9759413635114,54.6418897412062,"MAPE",22.9747667402236
"30",2018-01-30,3.19225518969397,4.01450344098446,3.6089512736097,"Sessions",36.9273058607182,24.3432642648234,55.3957812972446,"MAPE",26.1453882785636
"31",2018-01-31,3.18754323030807,3.9610491929045,3.56678983884809,"Sessions",35.4027619700172,24.2288296097394,52.5123926860371,"MAPE",21.327195622184
"32",2018-02-01,3.11182346842339,3.92674105659306,3.50965153700331,"Sessions",33.4366143308352,22.4619657652998,50.7413447507079,"MAPE",12.0089096556967
"33",2018-02-02,3.00028703297469,3.80834521350283,3.39674737332026,"Sessions",29.8667963482385,20.091302962081,45.0757863137947,"MAPE",17.0366768104486
"34",2018-02-03,2.14333478692565,2.94304668128138,2.55245061998563,"Sessions",12.8385276153607,8.52782875523376,18.9735647473275,"MAPE",57.2049079487977
"35",2018-02-04,2.24584282167018,3.02999242833089,2.67012285935998,"Sessions",14.4417433871619,9.44837549720088,20.6970758773861,"MAPE",27.7912830641903
