"","Date","yhat_lower","yhat_upper","yhat","Web_Metric","Actual","Predicted","Predicted_Lower","Predicted_Upper","MAPE","MAPE_Upper","MAPE_Lower"
"2121",2018-01-01,2.86317519621155,3.71168532552138,3.29004574314121,"Sessions",16,26.8440915608853,17.5170588264246,40.9227165413683,67.775572255533,155.766978383552,9.4816176651535
"2122",2018-01-02,2.94373700672648,3.73581267024628,3.33774717032618,"Sessions",44,28.155625375095,18.9866672038159,41.9220805510166,36.0099423293295,4.72254420223497,56.848483627691
"2123",2018-01-03,2.93879539869873,3.74437388466228,3.34502563257043,"Sessions",55,28.3613026304236,18.8930739777182,42.2825251917614,48.4339952174117,23.1226814695248,65.6489564041487
"2124",2018-01-04,2.95586896597355,3.74411437626666,3.3370025536345,"Sessions",36,28.1346680300388,19.2184156152389,42.2715539451127,21.8481443610034,17.4209831808687,46.6155121798919
"2125",2018-01-05,2.87941132603804,3.6665962907665,3.27207421210835,"Sessions",50,26.3659712814453,17.8037894668873,39.1185308994534,47.2680574371093,21.7629382010932,64.3924210662254
"2126",2018-01-06,2.0794195365382,2.87307521602092,2.47385076635717,"Sessions",23,11.8680600988568,7.99982396080379,17.6913393225507,48.3997387006228,23.0811333802142,65.2181566921575
"2127",2018-01-07,2.22953172749819,3.0377378850751,2.63499659673978,"Sessions",16,13.943265010523,9.29551222740222,20.8580066198313,12.8545936842312,30.3625413739453,41.9030485787361
"2128",2018-01-08,3.1328018365509,3.94995101202512,3.54002097794691,"Sessions",37,34.4676422436423,22.9381585619634,51.9328226887024,6.84421015231799,40.3589802397363,38.0049768595582
"2129",2018-01-09,3.19276849911525,3.99126662448005,3.58634257911548,"Sessions",44,36.1017947119473,24.3557630993255,54.1233999889187,17.9504665637561,23.0077272475424,44.6459929560784
"2130",2018-01-10,3.1566446996581,3.9823284140304,3.58844485886217,"Sessions",53,36.1777706171111,23.4916420315802,53.6417892251317,31.740055439413,1.21092306628625,55.676147110226
"2131",2018-01-11,3.17838776514385,3.98035450853527,3.57160993342277,"Sessions",53,35.5738185541903,24.0080157734001,53.5360098362159,32.8795876336032,1.01133931361486,54.7018570313206
"2132",2018-01-12,3.08406535629252,3.89771752780225,3.49446895536859,"Sessions",35,32.9327945247905,21.8470381000776,49.2898179765541,5.90630135774148,40.8280513615831,37.5798911426355
"2133",2018-01-13,2.27172717754786,3.10319987642791,2.68093496875458,"Sessions",26,14.5987362792828,9.69613330366619,22.2690957485414,43.8510143104507,14.3496317363792,62.7071796012839
"2134",2018-01-14,2.42408851075803,3.23147043984021,2.82403551516122,"Sessions",31,16.8446907000487,11.291932252345,25.3168565288732,45.6622880643591,18.3327208746025,63.5744120892098
"2135",2018-01-15,3.30975002613796,4.08864875674421,3.70869421225935,"Sessions",56,40.800494941651,27.3782807618614,59.6592230921113,27.1419733184804,6.53432695019871,51.1102129252475
"2136",2018-01-16,3.32386572782725,4.16126452413688,3.73278504429198,"Sessions",55,41.795348117892,27.7674848880451,64.152593834214,24.008457967469,16.6410796985709,49.5136638399181
"2137",2018-01-17,3.32051784180783,4.10747764880011,3.71127669970889,"Sessions",48,40.9059978791432,27.6746779537971,60.7931822598199,14.7791710851183,26.6524630412914,42.3444209295893
"2138",2018-01-18,3.25628621329453,4.0825367347169,3.66995482123917,"Sessions",47,39.2501325478959,25.9529741359845,59.2956966788449,16.4890796853278,26.1610567634998,44.78090609365
"2139",2018-01-19,3.17242895112787,3.95173922796167,3.56796050417553,"Sessions",43,35.4442310244073,23.8653818590447,52.0257728725952,17.5715557571923,20.9901694711517,44.4991119557099
"2140",2018-01-20,2.33032831062108,3.13203391051551,2.72971131025232,"Sessions",26,15.3284612114957,10.2813164443909,22.9205505145042,41.0443799557858,11.8440364826763,60.4564752138811
"2141",2018-01-21,2.4553611766813,3.25976253905398,2.84872236834147,"Sessions",24,17.2657085269671,11.6506407288196,26.0433521291636,28.0595478043038,8.51396720484844,51.4556636299185
"2142",2018-01-22,3.31093923751472,4.13268637248523,3.71037706766327,"Sessions",63,40.8692140810156,27.4108586920028,62.3451805536682,35.1282316174356,1.03939594655846,56.4907004888844
"2143",2018-01-23,3.30632120289458,4.13070619982231,3.71297134710891,"Sessions",48,40.9753778928204,27.2845662335136,62.2218484811697,14.6346293899576,29.6288510024369,43.1571536801801
"2144",2018-01-24,3.29602694955634,4.09719528306749,3.67184915323737,"Sessions",51,39.3245557988321,27.0051327437139,60.1712872808354,22.8930278454272,17.9829162369321,47.0487593260512
"2145",2018-01-25,3.19943931788052,4.01391130198485,3.61311713690955,"Sessions",49,37.0814608403127,24.5187791014391,55.3629890044806,24.3235493054844,12.9856918458788,49.9616753031855
"2146",2018-01-26,3.07673639544714,3.88889401825709,3.4961770912546,"Sessions",50,32.9890962847836,21.6875073247389,48.856821878973,34.0218074304328,2.28635624205396,56.6249853505222
"2147",2018-01-27,2.2501376433622,3.06406455445504,2.64564252361868,"Sessions",26,14.0924969369263,9.48904185009868,21.4144205904862,45.7980887041298,17.6368438827453,63.5036851919281
"2148",2018-01-28,2.38232057128816,3.13890693127135,2.75515701359376,"Sessions",31,15.723509513731,10.8300055262825,23.0786265415619,49.2790015686095,25.5528176078648,65.0644983023145
"2149",2018-01-29,3.21791301605697,4.00080079997206,3.61016389776246,"Sessions",48,36.9721119646927,24.9759413635114,54.6418897412062,22.9747667402236,13.8372702941795,47.9667888260178
"2150",2018-01-30,3.19225518969397,4.01450344098446,3.6089512736097,"Sessions",50,36.9273058607182,24.3432642648234,55.3957812972446,26.1453882785636,10.7915625944892,51.3134714703531
"2151",2018-01-31,3.18754323030807,3.9610491929045,3.56678983884809,"Sessions",45,35.4027619700172,24.2288296097394,52.5123926860371,21.327195622184,16.6942059689714,46.1581564228012
"2152",2018-02-01,3.11182346842339,3.92674105659306,3.50965153700331,"Sessions",38,33.4366143308352,22.4619657652998,50.7413447507079,12.0089096556967,33.5298546071259,40.8895637755268
"2153",2018-02-02,3.00028703297469,3.80834521350283,3.39674737332026,"Sessions",36,29.8667963482385,20.091302962081,45.0757863137947,17.0366768104486,25.2105175383187,44.1908251053304
"2154",2018-02-03,2.14333478692565,2.94304668128138,2.55245061998563,"Sessions",30,12.8385276153607,8.52782875523376,18.9735647473275,57.2049079487977,36.754784175575,71.5739041492208
"2155",2018-02-04,2.24584282167018,3.02999242833089,2.67012285935998,"Sessions",20,14.4417433871619,9.44837549720088,20.6970758773861,27.7912830641903,3.48537938693031,52.7581225139956
"2156",2018-02-05,3.12178121055477,3.90611046870037,3.53489217880925,"Sessions",42,34.2913171842453,22.6867535601721,49.7052453959931,18.354006704178,18.3458223714122,45.9839200948284
"2157",2018-02-06,3.13275389770048,3.93665281830813,3.54470726542241,"Sessions",54,34.6295465926581,22.9370589593681,51.2467816159004,35.8712100135962,5.09855256314748,57.523964890059
"2158",2018-02-07,3.1023542672134,3.90528158632966,3.51448466269152,"Sessions",42,33.5986088450713,22.2502727555474,49.6640626645305,20.0033122736398,18.2477682488822,47.0231601058394
"2159",2018-02-08,3.07780939147171,3.8799267397078,3.46983690281433,"Sessions",38,32.1315014599105,21.7107904229832,48.4206676291446,15.4434172107618,27.4228095503806,42.8663409921496
"2160",2018-02-09,2.96955142511418,3.81602145255616,3.36961962572943,"Sessions",34,29.0674684376189,19.4831779712073,45.4231302670738,14.507445771709,33.5974419619819,42.6965353788022
"2161",2018-02-10,2.15406694279869,2.91822685023806,2.537863661925,"Sessions",9,12.6526118209978,8.61984361843955,18.5084401105425,40.5845757888642,105.649334561583,4.22395979511608
"2162",2018-02-11,2.26650957188737,3.03660582689197,2.66760930327782,"Sessions",5,14.4054888382431,9.64567445531427,20.8344075030604,188.109776764861,316.688150061208,92.9134891062854
"2163",2018-02-12,3.15462190106925,3.99260565320324,3.54369187435789,"Sessions",39,34.5944019062994,23.4441711993817,54.1959213193372,11.2964053684631,38.9639008188133,39.8867405144059
