"","Date","yhat_lower","yhat_upper","yhat","Sessions","Predicted","Predicted_Lower","Predicted_Upper","MAPE","MAPE_Upper","MAPE_Lower"
"1756",2017-01-01,2.22386147400098,2.9871742190918,2.60850013353136,16,13.5786693800168,9.2429534682517,19.8295692288656,31.9303445015446,135.150761889344,46.034700999849
"1757",2017-01-02,3.14251461151091,3.92800361885678,3.52979216291131,22,34.1168761256337,23.1620372155439,50.8054493172885,32.1097361603364,5.88312938706955,48.9158888117422
"1758",2017-01-03,3.18001690102077,3.94473483111953,3.56977383410516,53,35.5085614178429,24.0471599701801,51.6626369720213,32.2778535373261,9.09839134990535,45.4934666715647
"1759",2017-01-04,3.2188962609605,3.98978167549582,3.58819694404659,50,36.1688027234632,25.000510907528,54.043089144593,30.8782458223042,14.6274040133681,49.4190713410995
"1760",2017-01-05,3.21176544964981,3.97926411091247,3.59323872139474,46,36.3516182440625,24.8228710923027,53.4776661130657,31.7145362672894,12.7561913355274,47.1122021419237
"1761",2017-01-06,3.15397511065811,3.94219548151591,3.52322178082046,32,33.8934500149734,23.4290126369876,51.5316139024005,30.8745122534378,8.90714211802551,52.0400368792051
"1762",2017-01-07,2.32766271751596,3.08166629058407,2.70318871146382,16,14.9272546241421,10.253947132096,21.7946884403854,31.3072136150736,109.731892456901,46.0060070599749
"1763",2017-01-08,2.46375264808034,3.22657611782579,2.87439131106342,19,17.7146381348912,11.7488180974558,25.1932504114411,33.6773463392682,90.1102697262354,42.2171326312327
"1764",2017-01-09,3.37486890135051,4.17182031487909,3.79301009727709,54,44.3898170439358,29.2204527682248,64.8333618916903,34.1730723077699,23.0159649589311,46.0545823550479
"1765",2017-01-10,3.42798013589686,4.21085640237817,3.8266767455005,50,45.9097147730452,30.8143390710258,67.4142488185343,32.8805695627678,28.3799306414493,46.8409227802803
"1766",2017-01-11,3.45002763927892,4.21996211012758,3.83532638164741,67,46.3085394591084,31.5012629689094,68.0309065582147,31.9752612869043,30.9516956043513,46.9079080291177
"1767",2017-01-12,3.42325374302548,4.22481088100976,3.82738720906916,44,45.9423435422429,30.6690420344232,68.3615738541528,33.2444980604358,27.6386542409002,48.7986214532046
"1768",2017-01-13,3.33087439465701,4.13288049577459,3.74149403691714,25,42.160933124285,27.9627815234145,62.3572843799727,33.6760848224496,20.1249063364492,47.9029987219483
"1769",2017-01-14,2.49721646453196,3.31295071916484,2.90305508369508,15,18.2297538055945,12.1486307083213,27.4660506214434,33.3582294205586,82.9878218669155,50.6660534988375
