"","ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"1",2012-03-12,2.95582628075987,0.348577982959885,0.348577982959885,0.348577982959885,0.298205676142148,0.298205676142148,0.298205676142148,0.0503723068177361,0.0503723068177361,0.0503723068177361,0,0,0,2.91282225413966,3.69668417884621,2.95582628075987,2.95582628075987,3.30440426371975
"2",2012-03-13,2.95615677890886,0.358365888970617,0.358365888970617,0.358365888970617,0.311844821127083,0.311844821127083,0.311844821127083,0.0465210678435342,0.0465210678435342,0.0465210678435342,0,0,0,2.91952156984217,3.72431431081894,2.95615677890886,2.95615677890886,3.31452266787948
"3",2012-03-14,2.95648727705785,0.326639994454969,0.326639994454969,0.326639994454969,0.283559671100083,0.283559671100083,0.283559671100083,0.0430803233548852,0.0430803233548852,0.0430803233548852,0,0,0,2.88962454090653,3.67153957826721,2.95648727705785,2.95648727705785,3.28312727151282
"4",2012-03-15,2.95681777520684,0.27908713396467,0.27908713396467,0.27908713396467,0.239038137587047,0.239038137587047,0.239038137587047,0.0400489963776232,0.0400489963776232,0.0400489963776232,0,0,0,2.8173192662258,3.62996914383197,2.95681777520684,2.95681777520684,3.23590490917151
"5",2012-03-16,2.95714827335583,0.174665568858927,0.174665568858927,0.174665568858927,0.137254940155903,0.137254940155903,0.137254940155903,0.0374106287030244,0.0374106287030244,0.0374106287030244,0,0,0,2.71926391650724,3.54057962331695,2.95714827335583,2.95714827335583,3.13181384221476
"6",2012-03-17,2.95747877150483,-0.66246614082316,-0.66246614082316,-0.66246614082316,-0.69760164223912,-0.69760164223912,-0.69760164223912,0.0351355014159598,0.0351355014159598,0.0351355014159598,0,0,0,1.895480489229,2.70297661550743,2.95747877150483,2.95747877150483,2.29501263068167
"7",2012-03-18,2.95780926965382,-0.539118439621048,-0.539118439621048,-0.539118439621048,-0.572301603871768,-0.572301603871768,-0.572301603871768,0.0331831642507199,0.0331831642507199,0.0331831642507199,0,0,0,2.01742074957395,2.83822935692874,2.95780926965382,2.95780926965382,2.41869083003277
"8",2012-03-19,2.95813976780281,0.32971094212126,0.32971094212126,0.32971094212126,0.298205676142737,0.298205676142737,0.298205676142737,0.0315052659785229,0.0315052659785229,0.0315052659785229,0,0,0,2.88264280048125,3.67876229104821,2.95813976780281,2.95813976780281,3.28785070992407
"9",2012-03-20,2.9584702659518,0.341893391427613,0.341893391427613,0.341893391427613,0.311844821126832,0.311844821126832,0.311844821126832,0.030048570300781,0.030048570300781,0.030048570300781,0,0,0,2.89855557404763,3.68916902562012,2.9584702659518,2.9584702659518,3.30036365737942
"10",2012-03-21,2.95880076410079,0.312317709131137,0.312317709131137,0.312317709131137,0.283559671100063,0.283559671100063,0.283559671100063,0.0287580380310735,0.0287580380310735,0.0287580380310735,0,0,0,2.8513853437965,3.6761131732134,2.95880076410079,2.95880076410079,3.27111847323193
"11",2012-03-22,2.95913126224979,0.266617994332308,0.266617994332308,0.266617994332308,0.2390381375867,0.2390381375867,0.2390381375867,0.0275798567456079,0.0275798567456079,0.0275798567456079,0,0,0,2.84851037868418,3.63298016881099,2.95913126224979,2.95913126224979,3.22574925658209
"12",2012-03-23,2.95946176039878,0.163719243653862,0.163719243653862,0.163719243653862,0.137254940155806,0.137254940155806,0.137254940155806,0.0264643034980562,0.0264643034980562,0.0264643034980562,0,0,0,2.69700114309482,3.55438881050441,2.95946176039878,2.95946176039878,3.12318100405264
"13",2012-03-24,2.95979225854777,-0.672233307821523,-0.672233307821523,-0.672233307821523,-0.697601642240015,-0.697601642240015,-0.697601642240015,0.0253683344184926,0.0253683344184926,0.0253683344184926,0,0,0,1.8678754571495,2.69023899406715,2.95979225854777,2.95979225854777,2.28755895072625
"14",2012-03-25,2.96012275669676,-0.548043797142929,-0.548043797142929,-0.548043797142929,-0.572301603871421,-0.572301603871421,-0.572301603871421,0.0242578067284924,0.0242578067284924,0.0242578067284924,0,0,0,2.006041783802,2.80232397516629,2.96012275669676,2.96012275669676,2.41207895955383
