"","Date","yhat_lower","yhat_upper","yhat","Web_Metric","MAPE","MAPE_Upper","MAPE_Lower","Results","Number"
"1",2018-01-01,2.86317519621155,3.71168532552138,3.29004574314121,"Sessions",67.775572255533,155.766978383552,9.4816176651535,"Actual",16
"2",2018-01-02,2.94373700672648,3.73581267024628,3.33774717032618,"Sessions",36.0099423293295,4.72254420223497,56.848483627691,"Actual",44
"3",2018-01-03,2.93879539869873,3.74437388466228,3.34502563257043,"Sessions",48.4339952174117,23.1226814695248,65.6489564041487,"Actual",55
"4",2018-01-04,2.95586896597355,3.74411437626666,3.3370025536345,"Sessions",21.8481443610034,17.4209831808687,46.6155121798919,"Actual",36
"5",2018-01-05,2.87941132603804,3.6665962907665,3.27207421210835,"Sessions",47.2680574371093,21.7629382010932,64.3924210662254,"Actual",50
"6",2018-01-06,2.0794195365382,2.87307521602092,2.47385076635717,"Sessions",48.3997387006228,23.0811333802142,65.2181566921575,"Actual",23
"7",2018-01-07,2.22953172749819,3.0377378850751,2.63499659673978,"Sessions",12.8545936842312,30.3625413739453,41.9030485787361,"Actual",16
"8",2018-01-08,3.1328018365509,3.94995101202512,3.54002097794691,"Sessions",6.84421015231799,40.3589802397363,38.0049768595582,"Actual",37
"9",2018-01-09,3.19276849911525,3.99126662448005,3.58634257911548,"Sessions",17.9504665637561,23.0077272475424,44.6459929560784,"Actual",44
"10",2018-01-10,3.1566446996581,3.9823284140304,3.58844485886217,"Sessions",31.740055439413,1.21092306628625,55.676147110226,"Actual",53
"11",2018-01-11,3.17838776514385,3.98035450853527,3.57160993342277,"Sessions",32.8795876336032,1.01133931361486,54.7018570313206,"Actual",53
"12",2018-01-12,3.08406535629252,3.89771752780225,3.49446895536859,"Sessions",5.90630135774148,40.8280513615831,37.5798911426355,"Actual",35
"13",2018-01-13,2.27172717754786,3.10319987642791,2.68093496875458,"Sessions",43.8510143104507,14.3496317363792,62.7071796012839,"Actual",26
"14",2018-01-14,2.42408851075803,3.23147043984021,2.82403551516122,"Sessions",45.6622880643591,18.3327208746025,63.5744120892098,"Actual",31
"15",2018-01-15,3.30975002613796,4.08864875674421,3.70869421225935,"Sessions",27.1419733184804,6.53432695019871,51.1102129252475,"Actual",56
"16",2018-01-16,3.32386572782725,4.16126452413688,3.73278504429198,"Sessions",24.008457967469,16.6410796985709,49.5136638399181,"Actual",55
